,Area name,GEOID,Race,Race Code,Education,Death Rate
0,Jefferson County,1073,Black or African American,2054-5,9th through 12th grade with no diploma,14.18
1,Jefferson County,1073,Black or African American,2054-5,High school graduate or GED completed,12.23
2,Jefferson County,1073,Black or African American,2054-5,"Some college credit, but not a degree",14.79
3,Jefferson County,1073,Black or African American,2054-5,"Associate degree (AA, AS)",14.75
4,Jefferson County,1073,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",15.37
5,Jefferson County,1073,Black or African American,2054-5,Excluded,16.08
6,Madison County,1089,Black or African American,2054-5,9th through 12th grade with no diploma,24.61
7,Madison County,1089,Black or African American,2054-5,High school graduate or GED completed,10.77
8,Madison County,1089,Black or African American,2054-5,"Some college credit, but not a degree",11.24
9,Madison County,1089,Black or African American,2054-5,Excluded,12.31
10,Mobile County,1097,Black or African American,2054-5,9th through 12th grade with no diploma,15.01
11,Mobile County,1097,Black or African American,2054-5,High school graduate or GED completed,14.33
12,Mobile County,1097,Black or African American,2054-5,"Some college credit, but not a degree",12.89
13,Mobile County,1097,Black or African American,2054-5,Excluded,11.87
14,Unidentified Counties,1999,Black or African American,2054-5,9th through 12th grade with no diploma,14.14
15,Unidentified Counties,1999,Black or African American,2054-5,High school graduate or GED completed,14.26
16,Unidentified Counties,1999,Black or African American,2054-5,"Some college credit, but not a degree",12.45
17,Unidentified Counties,1999,Black or African American,2054-5,"Associate degree (AA, AS)",10.19
18,Unidentified Counties,1999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",13.11
19,Unidentified Counties,1999,Black or African American,2054-5,"Master's degree (MA, MS)",10.26
20,Unidentified Counties,1999,Black or African American,2054-5,Excluded,12.84
21,Anchorage Borough,2020,Black or African American,2054-5,Excluded,7.36
22,Unidentified Counties,2999,Black or African American,2054-5,Excluded,9.83
23,Maricopa County,4013,Black or African American,2054-5,9th through 12th grade with no diploma,10.43
24,Maricopa County,4013,Black or African American,2054-5,High school graduate or GED completed,10
25,Maricopa County,4013,Black or African American,2054-5,"Some college credit, but not a degree",9.7
26,Maricopa County,4013,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",10.02
27,Maricopa County,4013,Black or African American,2054-5,Excluded,12.43
28,Pima County,4019,Black or African American,2054-5,Excluded,11.25
29,Unidentified Counties,4999,Black or African American,2054-5,Excluded,9.79
30,Pulaski County,5119,Black or African American,2054-5,9th through 12th grade with no diploma,17.68
