County,County Code,Race,Race Code,Education,Death Rate
"Jefferson County, AL",1073,Black or African American,2054-5,9th through 12th grade with no diploma,14.18
"Jefferson County, AL",1073,Black or African American,2054-5,High school graduate or GED completed,12.23
"Jefferson County, AL",1073,Black or African American,2054-5,"Some college credit, but not a degree",14.79
"Jefferson County, AL",1073,Black or African American,2054-5,"Associate degree (AA, AS)",14.75
"Jefferson County, AL",1073,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",15.37
"Jefferson County, AL",1073,Black or African American,2054-5,Excluded,16.08
"Madison County, AL",1089,Black or African American,2054-5,9th through 12th grade with no diploma,24.61
"Madison County, AL",1089,Black or African American,2054-5,High school graduate or GED completed,10.77
"Madison County, AL",1089,Black or African American,2054-5,"Some college credit, but not a degree",11.24
"Madison County, AL",1089,Black or African American,2054-5,Excluded,12.31
"Mobile County, AL",1097,Black or African American,2054-5,9th through 12th grade with no diploma,15.01
"Mobile County, AL",1097,Black or African American,2054-5,High school graduate or GED completed,14.33
"Mobile County, AL",1097,Black or African American,2054-5,"Some college credit, but not a degree",12.89
"Mobile County, AL",1097,Black or African American,2054-5,Excluded,11.87
"Unidentified Counties, AL",1999,Black or African American,2054-5,9th through 12th grade with no diploma,14.14
"Unidentified Counties, AL",1999,Black or African American,2054-5,High school graduate or GED completed,14.26
"Unidentified Counties, AL",1999,Black or African American,2054-5,"Some college credit, but not a degree",12.45
"Unidentified Counties, AL",1999,Black or African American,2054-5,"Associate degree (AA, AS)",10.19
"Unidentified Counties, AL",1999,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",13.11
"Unidentified Counties, AL",1999,Black or African American,2054-5,"Master's degree (MA, MS)",10.26
"Unidentified Counties, AL",1999,Black or African American,2054-5,Excluded,12.84
"Anchorage Borough, AK",2020,Black or African American,2054-5,Excluded,7.36
"Unidentified Counties, AK",2999,Black or African American,2054-5,Excluded,9.83
"Maricopa County, AZ",4013,Black or African American,2054-5,9th through 12th grade with no diploma,10.43
"Maricopa County, AZ",4013,Black or African American,2054-5,High school graduate or GED completed,10
"Maricopa County, AZ",4013,Black or African American,2054-5,"Some college credit, but not a degree",9.7
"Maricopa County, AZ",4013,Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",10.02
"Maricopa County, AZ",4013,Black or African American,2054-5,Excluded,12.43
"Pima County, AZ",4019,Black or African American,2054-5,Excluded,11.25
"Unidentified Counties, AZ",4999,Black or African American,2054-5,Excluded,9.79
"Pulaski County, AR",5119,Black or African American,2054-5,9th through 12th grade with no diploma,17.68
"Pulaski County, AR",5119,Black or African American,2054-5,High school graduate or GED completed,10.61
"Pulaski County, AR",5119,Black or African American,2054-5,"Some college credit, but not a degree",8.22
"Pulaski County, AR",5119,Black or African American,2054-5,Excluded,13.13
"Unidentified Counties, AR",5999,Black or African American,2054-5,9th through 12th grade with no diploma,11.93
