Race,Race Code,Education,Death Rate
Black or African American,2054-5,8th grade or less,9.04
Black or African American,2054-5,9th through 12th grade with no diploma,12.59
Black or African American,2054-5,High school graduate or GED completed,11.62
Black or African American,2054-5,"Some college credit, but not a degree",10.28
Black or African American,2054-5,"Associate degree (AA, AS)",9.8
Black or African American,2054-5,"Bachelor's degree (BA, AB, BS)",8.18
Black or African American,2054-5,"Master's degree (MA, MS)",7.86
Black or African American,2054-5,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6.2
Black or African American,2054-5,Unknown/Not on certificate,37.67
Black or African American,2054-5,Excluded,12.1
